dataset,algorithm,parameter,metric,variance,std_dev,range,mean,min,max,cv,n_values
har_smartphone,decision_tree,max_depth,accuracy,0.01703760736585844,0.13052818609732705,0.510688836104513,0.8079233118425517,0.3627417712928402,0.8734306073973532,0.1615601186202242,20
har_smartphone,decision_tree,max_depth,precision,0.03279047219692361,0.181081396606398,0.6547035744020011,0.7907397574319421,0.22206900047449615,0.8767725748764973,0.22900251935540678,20
har_smartphone,decision_tree,max_depth,recall,0.01703760736585844,0.13052818609732705,0.510688836104513,0.8079233118425517,0.3627417712928402,0.8734306073973532,0.1615601186202242,20
har_smartphone,decision_tree,max_depth,f1,0.02830030370181619,0.1682269410701395,0.6246937304859626,0.7924025900666016,0.24750676868501928,0.8722004991709819,0.21229983745509967,20
har_smartphone,decision_tree,min_samples_leaf,accuracy,3.138298875172669e-05,0.005602052191092715,0.022734984730234165,0.8646589752290466,0.8513742789277231,0.8741092636579573,0.006478915215803713,20
har_smartphone,decision_tree,min_samples_leaf,precision,3.330897845854448e-05,0.005771393112459459,0.02275675895622309,0.86588886258037,0.852008360455239,0.8747651194114621,0.006665281610460453,20
har_smartphone,decision_tree,min_samples_leaf,recall,3.138298875172669e-05,0.005602052191092715,0.022734984730234165,0.8646589752290466,0.8513742789277231,0.8741092636579573,0.006478915215803713,20
har_smartphone,decision_tree,min_samples_leaf,f1,3.186089031728418e-05,0.005644545182500019,0.022846141092849104,0.8638447097157265,0.8506882370791926,0.8735343781720417,0.0065342128266983575,20
har_smartphone,decision_tree,min_samples_split,accuracy,1.7338872429046827e-05,0.0041639971696732486,0.014591109602986152,0.8594645759291341,0.8506956226671191,0.8652867322701052,0.004844873525091726,19
har_smartphone,decision_tree,min_samples_split,precision,1.691955857178366e-05,0.0041133391024548,0.013986413278027854,0.8598420965665682,0.8512276371906405,0.8652140504686684,0.0047838307973984496,19
har_smartphone,decision_tree,min_samples_split,recall,1.7338872429046827e-05,0.0041639971696732486,0.014591109602986152,0.8594645759291341,0.8506956226671191,0.8652867322701052,0.004844873525091726,19
har_smartphone,decision_tree,min_samples_split,f1,1.7966172544999143e-05,0.004238652208544497,0.014947065636748302,0.8589084524817414,0.849961321907374,0.8649083875441222,0.0049349289744410815,19
har_smartphone,logistic_regression,C,accuracy,3.845795572476015e-05,0.006201447873259934,0.019341703427214085,0.9467254835425857,0.9341703427214116,0.9535120461486257,0.006550418237454131,7
har_smartphone,logistic_regression,C,precision,3.937675449806971e-05,0.006275089999200786,0.019743485712470643,0.948720157177171,0.9363545560895188,0.9560980418019894,0.00661426865628294,7
har_smartphone,logistic_regression,C,recall,3.845795572476015e-05,0.006201447873259934,0.019341703427214085,0.9467254835425857,0.9341703427214116,0.9535120461486257,0.006550418237454131,7
har_smartphone,logistic_regression,C,f1,3.86994124872239e-05,0.0062208851851825635,0.019461396725154567,0.9466167570737071,0.9340460366423501,0.9535074333675047,0.006571704059426641,7
har_smartphone,logistic_regression,penalty,accuracy,2.302871600285054e-05,0.004798824439677965,0.0067865626060400475,0.9501187648456058,0.9467254835425857,0.9535120461486257,0.005050762722761058,2
